ID,电话,婚姻,学历
ID-021444,13970951095,已婚,初中
ID-011920,13948239107,未婚,大专
ID-006633,13672244575,已婚,本科
ID-017049,18827727132,未婚,初中
ID-008769,15112205185,已婚,高中
ID-017418,18935350760,未婚,大专
ID-007912,15303340390,未婚,本科
ID-029795,18993179692,已婚,高中
ID-005266,15155373378,已婚,研究生
ID-001688,18570659811,已婚,大专
ID-027927,18556800492,已婚,大专
ID-009938,18967256642,已婚,大专
ID-011313,18577608376,未婚,初中
ID-011091,15886247240,已婚,高中
ID-019247,13668026022,已婚,大专
ID-022943,15386217692,已婚,高中
ID-025261,15072678420,已婚,大专
ID-021792,18888594158,未婚,初中
ID-019220,15023990855,已婚,研究生
ID-009599,15313220844,已婚,本科
ID-008260,15814657314,未婚,高中
ID-024738,15012633451,未婚,本科
ID-015598,13911918184,已婚,本科
ID-009603,13613740795,已婚,研究生
ID-026588,18822617246,未婚,大专
ID-028917,15324316969,未婚,初中
ID-000639,18592517283,已婚,大专
ID-013339,18938828039,已婚,大专
ID-018919,15098665517,已婚,本科
ID-023328,18958419367,已婚,高中
ID-023786,18581454506,已婚,高中
ID-014113,15834778894,未婚,本科
ID-026359,15083818628,未婚,高中
ID-025552,15398713489,已婚,研究生
ID-022053,15169092156,已婚,初中
ID-017490,18984813668,未婚,大专
ID-016395,15347558306,未婚,初中
ID-004221,15355590648,已婚,本科
ID-000796,18887201277,未婚,高中
ID-008233,18802512358,已婚,研究生
ID-019928,15111949198,已婚,本科
ID-022506,13667431677,未婚,研究生
ID-001052,18561689322,已婚,高中
ID-014740,15161743423,已婚,初中
ID-000167,15068416346,已婚,初中
ID-004777,18565375312,已婚,初中
ID-004281,18821402917,未婚,高中
ID-024635,15866706086,未婚,高中
ID-014153,13920602948,已婚,高中
ID-012823,18532862416,已婚,高中
ID-021234,18869586097,未婚,本科
ID-006020,13676535310,已婚,本科
ID-012584,18846509199,未婚,研究生
ID-025188,15132950820,已婚,高中
ID-027427,15340126395,已婚,初中
ID-000747,18560157894,已婚,研究生
ID-005862,13610390261,已婚,高中
ID-027340,15048795688,未婚,初中
ID-016848,13636174320,未婚,研究生
ID-007754,18975494508,已婚,初中
ID-027888,15384551189,未婚,研究生
ID-006251,15866725038,未婚,大专
ID-010240,18567873664,已婚,初中
ID-015692,15850787744,未婚,研究生
ID-019979,18873236293,未婚,初中
ID-002274,15828259268,未婚,本科
ID-023544,18943238832,已婚,大专
ID-016598,18591998486,未婚,本科
ID-007256,13935513186,未婚,研究生
ID-011239,15021537197,未婚,本科
ID-015961,15367545164,未婚,大专
ID-017787,18923959990,已婚,本科
ID-000608,18846162233,未婚,研究生
ID-017990,15153961015,已婚,研究生
ID-017862,13903613438,已婚,高中
ID-028604,13666596136,已婚,初中
ID-007664,15197076656,未婚,本科
ID-028070,13601870710,已婚,本科
ID-022541,15888826813,未婚,高中
ID-004417,13698182358,未婚,高中
ID-003625,15324609993,未婚,大专
ID-002529,15315926652,未婚,初中
ID-010459,15313404964,已婚,大专
ID-020728,18585769102,未婚,大专
ID-021739,18575883530,未婚,初中
ID-021955,18970927968,已婚,本科
ID-012607,15169574216,未婚,大专
ID-005313,13932973307,未婚,高中
ID-019835,15337045399,已婚,研究生
ID-009933,15164867701,未婚,初中
ID-014444,15028622193,已婚,高中
ID-017209,15307065388,已婚,本科
ID-001476,18868956493,未婚,初中
ID-005984,18989521214,已婚,初中
ID-024967,18509744917,未婚,高中
ID-024535,18847399904,未婚,研究生
ID-024223,18520897173,已婚,大专
ID-000552,15331428344,未婚,本科
ID-019629,18962187769,未婚,大专
ID-009595,15820544534,未婚,本科
ID-012570,15096609022,未婚,初中
ID-016509,13636238648,已婚,高中
ID-025593,15139802819,已婚,本科
ID-000763,18916787811,未婚,高中
ID-021540,18524305263,未婚,大专
ID-020875,15023739280,已婚,大专
ID-021299,18838043647,已婚,高中
ID-024198,13660138925,已婚,本科
ID-015430,18949890803,已婚,本科
ID-018350,13937562122,未婚,大专
ID-007948,18893787724,已婚,本科
ID-012128,15140780054,未婚,研究生
ID-001388,13964891125,已婚,本科
ID-019907,18988908002,已婚,初中
ID-025470,18851277294,未婚,本科
ID-028599,18840974966,未婚,本科
ID-002061,13637363758,已婚,高中
ID-019717,18553772197,未婚,大专
ID-007584,15877979946,未婚,研究生
ID-003470,18937169303,未婚,大专
ID-019887,18969308790,未婚,高中
ID-019578,15877445239,已婚,初中
ID-023699,15882393922,未婚,大专
ID-001684,18994348628,未婚,本科
ID-001863,15113740397,已婚,高中
ID-018449,15892443697,未婚,初中
ID-027086,15305594903,未婚,高中
ID-022994,18802097483,未婚,初中
ID-012983,15815087752,已婚,大专
ID-007789,15822045167,已婚,高中
ID-020686,15857351801,未婚,本科
ID-000981,18968364874,未婚,初中
ID-018534,18813348994,已婚,高中
ID-007001,13974231401,已婚,高中
ID-023302,13615622471,未婚,研究生
ID-015515,18544714630,已婚,高中
ID-008718,15037682409,已婚,初中
ID-017606,18817878435,已婚,大专
ID-020216,15066000513,未婚,本科
ID-013734,15156113772,未婚,大专
ID-028149,15023531087,已婚,本科
ID-019116,18519303283,已婚,初中
ID-000726,15342144954,未婚,本科
ID-002184,13947188737,已婚,研究生
ID-012574,18994471472,已婚,本科
ID-028106,15300143951,已婚,初中
ID-000482,15084584545,已婚,本科
ID-019873,13946314218,已婚,研究生
ID-026179,15115624326,未婚,高中
ID-001099,15846090606,未婚,高中
ID-003529,13981940391,已婚,高中
ID-018026,18825684453,已婚,高中
ID-014429,15367847878,已婚,大专
ID-029695,18579575793,已婚,本科
ID-023093,15026334827,未婚,大专
ID-002078,18546314959,未婚,高中
ID-027636,15397276168,未婚,高中
ID-007486,15077932028,未婚,初中
ID-016977,18979123532,未婚,本科
ID-016253,15058373687,未婚,研究生
ID-029244,15392911462,已婚,本科
ID-014070,18850510999,已婚,大专
ID-011269,15050369351,已婚,研究生
ID-001168,13971658656,已婚,高中
ID-003027,15144526177,未婚,本科
ID-016637,18548530129,已婚,初中
ID-027649,15156887040,未婚,研究生
ID-022387,15388897592,已婚,研究生
ID-015368,15359100647,已婚,初中
ID-006122,15002082311,已婚,初中
ID-004806,18828781108,未婚,大专
ID-018342,13636503445,未婚,研究生
ID-012787,18584631476,未婚,本科
ID-021660,18549212895,未婚,大专
ID-019445,15336348756,已婚,高中
ID-022513,15346276131,未婚,本科
ID-022412,18849776584,已婚,高中
ID-004628,15061175930,未婚,本科
ID-000755,18989101218,未婚,初中
ID-009186,15309606045,已婚,大专
ID-012642,18954604419,已婚,大专
ID-012065,15031968073,未婚,高中
ID-026098,15082914051,未婚,研究生
ID-024031,13659714006,已婚,研究生
ID-018704,13962047834,未婚,大专
ID-007646,15169360101,未婚,研究生
ID-028518,15894011570,已婚,初中
ID-022657,13988996167,未婚,大专
ID-007544,15344869545,未婚,初中
ID-028757,15177942505,未婚,初中
ID-002720,15067865619,未婚,大专
ID-000585,13651454613,已婚,本科
ID-001403,15136836894,已婚,研究生
ID-002156,13652196464,已婚,高中
ID-007841,15195508471,未婚,本科
ID-000917,18804461218,未婚,高中
ID-019593,15192696297,已婚,研究生
ID-010264,18829798826,已婚,研究生
ID-014321,15187286653,已婚,本科
ID-016286,15156595738,未婚,研究生
ID-021388,15095531139,未婚,高中
ID-011582,18827998895,未婚,初中
ID-009533,15301012109,已婚,大专
ID-016505,18870387381,已婚,研究生
ID-020839,15854296747,已婚,高中
ID-006951,15819803412,未婚,高中
ID-000112,18808186734,已婚,研究生
ID-022603,18514022570,未婚,初中
ID-024971,18877339411,已婚,初中
ID-010445,18924965135,已婚,大专
ID-004618,13988663300,已婚,本科
ID-001278,18952464938,未婚,本科
ID-017366,18523634864,未婚,研究生
ID-029996,18554466414,未婚,研究生
ID-000787,15075975251,已婚,研究生
ID-022525,15854086610,已婚,高中
ID-012777,18873944236,已婚,初中
ID-013418,13947692578,未婚,研究生
ID-013807,15882000856,已婚,研究生
ID-018538,15017210937,已婚,高中
ID-011180,13991672649,未婚,研究生
ID-008217,13963396530,未婚,初中
ID-013845,18850510942,未婚,研究生
ID-018102,13665455739,未婚,大专
ID-019214,18809038085,未婚,初中
ID-013825,13650540958,未婚,初中
ID-009587,15181071989,未婚,研究生
ID-024708,18555374969,已婚,大专
ID-027437,15356592088,已婚,大专
ID-007686,18853355423,已婚,本科
ID-017478,15890830724,已婚,初中
ID-025100,15392733005,已婚,初中
ID-007128,15045487577,未婚,初中
ID-011997,18852152188,已婚,初中
ID-021404,13670524323,已婚,大专
ID-028470,18921990485,未婚,初中
ID-018834,15323631328,未婚,研究生
ID-017970,18919720505,未婚,高中
ID-021971,13904317026,已婚,高中
ID-008425,13952844737,未婚,研究生
ID-015317,13915258275,未婚,大专
ID-006599,18813602634,已婚,本科
ID-016550,15305711992,已婚,本科
ID-011958,15128926262,未婚,初中
ID-029014,15165874782,已婚,本科
ID-029934,18562901620,已婚,本科
ID-012908,15055711595,已婚,大专
ID-014481,15160492901,未婚,研究生
ID-012192,15110490118,未婚,高中
ID-003214,13648662637,未婚,大专
ID-017503,15021816360,未婚,研究生
ID-027244,15321295379,未婚,本科
ID-015447,18571243677,未婚,高中
ID-003069,15849351012,已婚,初中
ID-004364,15341440843,已婚,研究生
ID-022273,13907293296,已婚,高中
ID-027619,13619878417,未婚,初中
ID-020762,18999474321,未婚,本科
ID-019822,15307341644,未婚,初中
ID-002216,15394126186,未婚,本科
ID-021266,18554709055,未婚,初中
ID-008697,15111515743,已婚,初中
ID-017211,15323662834,未婚,初中
ID-006726,18565578915,已婚,大专
ID-008404,13693126751,已婚,研究生
ID-005599,15897776812,已婚,初中
ID-003453,18951050140,已婚,大专
ID-002485,13940649037,已婚,初中
ID-021833,15846139585,未婚,初中
ID-005660,15097237282,未婚,大专
ID-008380,15806207101,未婚,研究生
ID-006446,18559114491,未婚,大专
ID-008986,18871731115,已婚,大专
ID-020533,15320706080,未婚,初中
ID-028448,15819184167,已婚,大专
ID-007345,18870725802,未婚,初中
ID-023262,15330838097,已婚,本科
ID-026810,15384660981,已婚,大专
ID-008875,15024314793,已婚,本科
ID-028859,15130123095,未婚,本科
ID-012712,13649407572,未婚,大专
ID-020339,18984775188,未婚,研究生
ID-007453,15863754960,已婚,研究生
ID-016649,15087742562,已婚,本科
ID-008139,13693115858,未婚,高中
ID-012498,15856014767,未婚,大专
ID-000165,15062190428,已婚,高中
ID-027965,18571523439,未婚,大专
ID-029813,18815534101,已婚,研究生
ID-017515,15888486220,未婚,初中
ID-005486,15379216684,未婚,大专
ID-012028,15188297585,未婚,本科
ID-010831,15883057845,已婚,初中
ID-021215,15305205806,已婚,研究生
ID-003357,15000182004,已婚,大专
ID-022922,15810865723,未婚,研究生
ID-011121,18947578580,已婚,本科
ID-012120,15871711925,未婚,大专
ID-019683,15197917078,已婚,研究生
ID-018984,13637880646,未婚,研究生
ID-014864,15156970707,未婚,研究生
ID-025398,18869291398,已婚,本科
ID-001713,18540304255,未婚,高中
ID-004997,15859065519,未婚,高中
ID-001643,18826380241,已婚,初中
ID-008144,18584215918,已婚,高中
ID-026804,15009479482,已婚,大专
ID-028142,18867528137,未婚,大专
ID-011693,15343492400,已婚,初中
ID-020597,13630079733,未婚,大专
ID-011483,15197190433,未婚,高中
ID-019703,13686960680,已婚,初中
ID-021554,15017998993,已婚,本科
ID-002233,15122134455,已婚,研究生
ID-016403,15836656859,未婚,本科
ID-008133,18809975948,未婚,初中
ID-014574,13903647017,已婚,本科
ID-006063,15330739574,未婚,高中
ID-012045,15348992849,已婚,初中
ID-009869,15343937910,未婚,大专
ID-017258,15806641475,未婚,高中
ID-021148,15333475457,未婚,研究生
ID-019811,18824879250,未婚,本科
ID-025903,18969299681,已婚,高中
ID-011364,18810445393,已婚,高中
ID-013883,18818887351,未婚,研究生
ID-017840,13965162516,已婚,研究生
ID-003969,15370666034,未婚,初中
ID-021014,15849885978,未婚,高中
ID-014867,18502374672,已婚,初中
ID-015302,13673719875,已婚,本科
ID-013410,13932578141,未婚,大专
ID-008768,15332206169,已婚,高中
ID-026242,15355156978,已婚,高中
ID-015095,15310562251,已婚,初中
ID-020215,18515859238,已婚,本科
ID-014820,18800599703,已婚,初中
ID-017370,15138305621,已婚,高中
ID-002053,13922550174,未婚,研究生
ID-009004,18835522572,未婚,大专
ID-025804,15349495879,未婚,初中
ID-026739,15012393148,未婚,研究生
ID-028124,15363241096,已婚,大专
ID-009649,18502586405,未婚,大专
ID-019110,15067399120,未婚,高中
ID-014344,18806769377,已婚,研究生
ID-008388,18887924992,未婚,初中
ID-016980,13624229989,已婚,本科
ID-021770,15171582062,未婚,研究生
ID-020880,15385900089,未婚,高中
ID-008032,18522882402,已婚,研究生
ID-029159,15387374616,已婚,研究生
ID-019922,15169091672,未婚,本科
ID-018524,18936374491,未婚,初中
ID-027003,15313033272,未婚,研究生
ID-008435,15381344569,已婚,本科
ID-003087,15327234456,已婚,研究生
ID-025907,13970499288,已婚,高中
ID-017573,15360658044,未婚,研究生
ID-020494,13695240366,未婚,研究生
